1699190170.275083 client started (48655): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1699190170.275126 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Fri Sep 15 13:39:52 PDT 2023; root:xnu-8796.141.3.700.8~1/RELEASE_X86_64
1699190170.276053 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1699190170.279196 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279201 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279206 sending message 112 to peer 0x7f97ba831000 (8 bytes)
1699190170.279210 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279215 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279219 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279224 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279229 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279233 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279238 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279243 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279247 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279252 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279257 sending message 112 to peer 0x7f97ba831000 (8 bytes)
1699190170.279261 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279266 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279271 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279275 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279280 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279284 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279289 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279294 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279298 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279303 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279308 sending message 112 to peer 0x7f97ba831000 (8 bytes)
1699190170.279312 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279317 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279330 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279335 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279340 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279345 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279349 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279354 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279359 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279363 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279368 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279372 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279377 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279381 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279386 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279390 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279395 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279400 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279404 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279409 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279413 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279418 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279424 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279429 sending message 112 to peer 0x7f97ba831000 (12 bytes)
